area,bedrooms,garage,rent,district_te,type_te
209,4,2,6950,3324.434681589945,3388.8355496108793
37,1,0,1490,2897.930322588539,3370.9797766930214
65,2,1,2200,3179.126571507205,3407.2803070118057
70,3,2,2100,3376.07314170805,3375.4779592750738
114,4,2,3500,3336.57761684091,3412.1431092475327
55,2,0,3950,4961.639812414085,3409.014078298
50,2,1,1700,3336.922100808902,3357.4001133440443
59,3,1,2100,3040.7206649133054,3320.263268133168
55,2,1,1900,3178.3228996343532,3392.807167876114
70,2,1,2450,3425.3536736669125,3404.1428697384868
54,2,1,1400,3073.652916658124,3408.339052133006
50,2,0,1590,3266.282203566683,3360.0988062890565
90,4,2,4200,3406.4299663589495,3319.6817166190663
30,1,0,2122,3313.9034647683643,3375.4998739506586
80,2,0,3200,3060.077274481929,3284.376821834253
78,2,2,4000,3386.7897764771883,3356.6380345032926
45,2,1,1404,2969.629689658996,3336.3114528205683
37,2,0,1650,3172.001280480782,3301.467863832722
15,1,0,950,3221.4258774758496,2192.127960481475
26,1,0,1750,2534.9270265684872,2179.8117436803295
29,1,0,1300,2682.708522665514,2202.3383311758166
60,2,1,1683,3220.339743360909,3322.531347239804
38,1,1,1554,3182.8354243109616,2226.5942578289596
120,3,3,5500,3191.217382284515,3499.112430708587
55,1,0,3899,3733.9391094406,3355.6596546898922
35,1,0,874,3103.3099609029696,3432.3479544260517
48,2,1,2860,3185.879337768453,3379.9314281327916
36,2,0,980,3518.9362082784082,3376.1023649633557
33,1,0,3100,3302.1658461121187,3377.760872833739
40,2,0,1101,3264.6375006252997,3365.871901637852
39,1,0,938,3228.084220492403,3499.893969220794
51,2,1,920,3266.3587651540565,3342.526589622733
62,2,1,2300,3333.462957453043,3317.6012672727943
35,1,1,959,4351.894777577077,3399.5976923267986
29,1,0,1725,2792.3539916841823,2255.9173290804847
41,2,0,1000,3131.676015193862,3422.414928497823
24,1,0,1600,3117.437286662963,2259.94998672318
37,2,0,1500,3201.1795738376104,3419.418131219903
26,1,0,1953,2861.144903076457,2172.159991553939
41,2,0,1800,2997.8250075269316,3316.6853598354883
30,1,0,1635,3246.522262752505,3424.2197903677466
12,1,0,900,2455.3471234741423,2220.5253298297866
41,1,1,1550,3154.813271147115,3565.1462147623856
32,1,0,1350,3116.827540578296,2214.7236395587092
44,2,1,1800,3034.3795661722484,3391.5330883397487
50,1,1,3350,4247.202050396814,3345.1811587659467
30,1,0,2600,2702.529310679305,3357.141405882673
46,2,0,1400,3186.673460129283,3335.11683423091
69,2,1,2170,3285.4144614742395,3280.810296879487
60,1,0,1100,3260.398369500067,3519.4715283098144
30,1,0,2327,3108.499673556895,2233.4673249921875
43,2,1,1732,3231.269913107247,3390.2233308349523
40,1,1,4900,3770.5135702006023,2238.632956979358
32,1,0,2000,2723.1403207795793,2187.3889874031124
32,2,0,1350,3085.9442223369992,3324.513219235659
28,1,0,1426,3267.4136300041328,2256.5983083913306
69,2,2,5390,3158.9145727320292,3405.904877263008
41,2,0,1500,3058.760717965094,3305.514126253973
30,1,0,1092,2508.833184346522,3316.661337360901
51,2,0,2480,3358.3901825156427,3305.8869163497275
71,3,2,1900,3164.352176220667,3341.478590746186
41,2,1,1400,3135.2286308224925,3361.8985938347014
30,1,0,1260,3295.192270790412,2212.6714560003734
22,0,0,2200,3255.5302515926705,2238.2078219471673
20,1,1,2600,2615.234471400309,3357.7300921083274
38,2,1,1995,3103.3444796020863,3323.198989639814
34,2,0,1400,3058.0160990925633,3338.231936900276
72,3,2,4000,3299.606442987407,3344.8212307875106
98,3,1,3000,3318.549663259862,3379.9330606034046
55,2,1,1750,3285.4470592499392,3358.1235769712457
55,2,1,2350,3187.5175313279333,3350.973565374074
19,1,0,3400,4115.3247568857,2196.6959108759083
44,2,0,1750,3379.312411235705,3339.630483026785
55,2,1,2300,3596.3973907147456,3335.787197903972
24,1,0,1900,3064.687840330202,2234.0733189591488
30,1,0,2390,2754.5385141870715,2225.0603444943404
26,1,0,2500,3307.58944101487,2266.760648988469
35,1,0,1400,3057.283276472802,3439.37484843844
70,2,1,1600,3080.532893786334,3357.1231656511213
87,1,2,4500,4243.069716234333,3332.883509009125
67,2,1,1900,4292.427391953577,3358.8701971811256
45,2,1,1443,3289.825913518949,3391.634479112525
94,3,1,2200,2606.084772022195,3351.5333467031955
24,1,0,2350,2814.254092384332,2164.751925961596
26,1,0,1250,2819.7409355847485,2249.515266692962
75,3,2,3700,3037.491352181199,3351.93854016007
45,2,0,3000,3232.334537723254,3412.0148404224274
85,3,2,2047,3158.8773868366616,3313.871049435318
14,1,0,1750,3235.3468553954744,2200.4397863299505
32,2,0,1800,3208.692167521606,3380.791872148273
63,2,1,2400,3030.9289973690434,3406.929888565833
50,1,0,916,3179.1206588942305,3379.2134397570903
48,2,1,1900,3243.9732115140696,3393.1123079531158
56,3,1,2000,3147.1872884713193,3364.548391023511
26,1,0,2450,2612.3474151419764,2242.224490471855
43,2,0,1300,3187.977092595585,3394.5040467729127
27,1,0,1200,4033.054819422866,3431.9034176123337
35,2,0,1481,3177.755799774338,3414.4945941027786
80,1,1,3000,3339.1944702391947,3356.1366591873402
75,3,1,3200,4017.468677072563,3365.057362054595
350,4,2,10400,3624.348975000351,3496.343891730235
37,2,0,2500,2576.1506574216987,3337.7907078440053
24,1,0,1100,3400.2704421511553,3402.3910389517955
45,1,1,3100,2498.4738922085717,3353.9018366651126
24,1,0,3000,3842.01018291169,2212.1545045156963
34,1,1,3231,4148.617564703206,2243.7828423775354
50,1,1,4000,2835.632541892009,3419.451784026661
65,3,1,1560,3089.7410197408994,3422.1148876678544
54,2,1,1100,2718.180498575622,3355.9222734850177
41,2,0,2090,2834.585058939665,3332.7583312889483
33,1,0,3417,4113.3580310607895,2225.5691848920756
35,1,1,1600,2783.5416897901837,3371.627093066555
34,2,0,1443,2903.5434766479325,3393.8138529277567
42,2,0,1000,3303.5359805644384,3474.3091477360213
150,3,1,1880,3204.157241177973,3441.5080087630135
64,2,1,2200,3119.077033344004,3716.7738738995968
31,1,0,2620,3740.339942258369,2190.295182318187
38,1,1,2400,3164.413023461759,2237.384604443885
57,2,1,1750,3161.061100631332,3392.8026934694767
50,1,0,850,3209.9898144710414,3378.7971479114626
45,1,1,1200,3256.9880292079315,3555.7710303578788
29,1,0,1700,2854.8169864455363,3402.6391027585373
37,2,0,2200,2843.504525736722,3338.5083620806677
29,1,0,1400,2830.640523819365,2231.518093263594
76,3,1,4200,3314.288708462651,3359.6336034268297
64,2,1,3600,3200.131359428351,3359.217841832977
14,1,0,700,3464.449453497528,2256.207266831015
34,1,1,4850,4096.565284942146,3390.4928149612797
55,2,1,1800,3293.873608184712,3364.0473656629506
12,1,0,2400,2808.7621342217303,3450.185634327242
67,2,1,2448,3241.920191905294,3391.0881771557474
62,3,1,2100,2980.731846919689,3303.7832829254367
50,2,1,1450,3120.4660174084115,3387.9742935000195
22,1,0,2800,2758.1870464628055,2262.5088543394722
49,1,1,3500,3160.6939926230352,3385.161148316207
35,1,0,3700,3926.227312586868,2188.617301568163
130,3,1,4000,3371.5322288541784,3466.19821092171
62,2,1,1900,3193.2984057762405,3406.0823189286216
25,1,0,2600,4356.580455127392,2255.555751839476
25,1,1,1800,3186.9300951124264,2205.2139608405296
25,2,0,1001,3034.475127251894,3500.9268371453572
27,1,0,2000,2628.5361553356065,2255.1503568688763
98,3,2,2442,3394.267997027947,3355.192703839617
49,2,1,1050,2996.1970627384076,3259.5771578063545
20,1,0,1640,2788.472232871523,2224.1518254266084
48,1,1,2600,3759.9257652959354,3333.625901796276
38,1,1,1500,2522.805295451475,3335.7704693136316
21,1,0,1000,2742.8896177871407,2233.7410272324873
35,2,0,2550,3521.627922177346,3328.635018715379
49,1,1,3000,5156.831369315231,3409.5326492308595
64,2,1,1550,3167.7849226705694,3403.9233927987852
70,3,1,4800,3208.688618172649,3389.6153448575433
99,3,2,4500,3110.7677443897633,3387.9677520800237
28,1,0,1700,3785.517744110661,2224.6267487593873
160,4,1,3000,3145.1931099353096,3449.9535697234187
49,2,1,1995,3196.4718533971213,3377.580445689717
58,2,2,2120,3127.822131900663,3323.4322743047082
66,2,2,2600,3224.040407108911,3392.2416932623514
35,1,1,2500,2808.658662845522,3445.819518008521
28,0,0,1207,2758.154199715871,2229.487478766264
115,3,2,4450,3417.0407506498586,3354.582786156457
33,1,1,2550,3103.041793239199,2139.9061646608525
45,2,0,2500,2750.016714908842,3349.3908166045794
53,2,1,1900,3094.0203081067452,3365.9040041353437
30,1,0,1350,2719.04160055681,2188.344691346962
49,2,1,1900,3059.666289371179,3363.292139313691
24,1,0,4300,3801.1784008792933,2173.9718658678985
60,3,1,3000,3094.359669494965,3335.0025782646867
35,2,0,2500,3066.5533408722604,3368.875942134397
45,2,0,2400,3193.020231454251,3373.7503954024537
33,1,0,3000,3440.003286654265,3344.971341328399
15,1,0,1000,3410.9295899599724,2169.237916779499
41,2,0,2900,3234.914270844867,2179.2447383964727
86,2,2,4800,3416.146787511129,3385.2510324285295
51,1,1,4000,3735.0732743484027,3392.6085766888996
30,1,1,3000,4119.49595987337,2258.6126026105385
47,1,1,2799,4340.116090188034,3328.8657335327603
54,1,2,3466,5220.6192997646,3340.4802659315587
35,1,1,2800,5156.9000212950805,3297.661790303585
33,1,0,3000,3555.572134120852,2260.7863915045937
60,2,1,5500,2892.6321921958993,3364.4962434243207
82,3,1,3000,3426.410610004369,3345.0727958210273
58,2,1,3500,3236.5317466616275,3320.1093471687586
78,1,1,3950,3669.3234278446416,3355.3117627069964
200,2,1,8000,3314.224374056184,3469.3336278657616
32,1,0,2370,3084.788817379883,2216.17315338621
58,2,1,2500,2928.43383586183,3325.3893197281263
65,2,0,2100,3717.441987501944,3393.213358071051
58,3,1,3800,3058.6514328659296,3324.3047172195384
68,3,1,5200,3507.718894150076,3448.0413926996753
83,3,2,3600,3485.358064980738,3354.322364436959
184,3,2,3800,3042.1346930804934,3344.916131028891
68,3,1,3000,3528.209386871202,3348.543102547464
64,2,2,3000,3280.9480568368854,3362.6996667627923
33,2,0,1700,3240.3172990812236,3298.7325504584687
73,3,1,2700,3010.403345315668,3411.7955959869455
35,1,1,3800,4236.808891026516,2257.513353517991
50,2,1,1900,3109.530331607679,3346.3821461212274
50,2,1,1700,3038.638106799313,3382.961876920127
25,1,0,2500,4086.1446981189015,2206.6887401507192
48,2,0,1100,3177.6808990438944,3347.3359230061824
15,1,0,750,3184.1536504874744,3458.3992635225172
30,2,2,2430,3247.7991869479206,3479.3797623271157
53,2,1,2200,3174.354963921261,3324.1475440615877
25,2,0,1400,3169.1952206345372,3296.318436632688
23,1,0,4000,4448.015711138364,2176.7101268934607
63,3,1,1500,3214.445641458566,3378.645013292118
16,1,0,3700,2820.365782968769,2252.9862020178393
20,1,0,2500,2697.442213465563,3397.3657792733065
33,1,1,1850,4486.68907093844,2232.450936161773
50,1,1,5400,3420.38970939736,3355.6546660700637
32,1,0,1600,3225.702209557109,3316.6271167937584
36,1,1,2200,2528.0095250659083,3342.34598957269
47,2,1,1650,3193.9369066776662,3341.588714621695
54,2,1,4200,3175.7429189684685,3379.80992117209
34,1,1,4000,5210.134116272266,2233.987079660836
42,1,1,2300,3982.684723212764,3361.6108080894755
30,1,1,3300,3211.11493202421,3337.269978492025
33,1,1,3150,4016.5662957994973,2242.7436785805976
84,2,2,7990,4022.213125196716,3418.231311573443
90,2,2,2715,3256.1719027621,3511.178155629604
43,1,1,3500,3997.7716968316035,2281.9761560947527
20,1,0,4000,2863.485144240178,3358.6703776422473
80,3,2,2250,3452.6299026559145,3318.8701692670793
67,3,1,1600,4229.499558277995,3379.283476290014
50,2,1,2600,3340.434540987846,3354.9428578023903
25,1,0,2770,3678.0612166387823,3353.008437841676
26,1,0,3500,3658.787620511601,3356.5335712233205
35,1,0,1050,3160.15789811117,3446.9798021546976
32,1,0,1300,2931.37947901854,2252.0598868626957
185,2,3,4579,3686.1192333394215,3513.533399221012
49,1,1,1800,3058.9854413861494,3349.703910281787
18,1,0,4000,2873.914968763879,2204.188052523828
39,1,0,2330,2542.928789855728,3296.5233024702584
25,1,0,3690,3685.7126967266563,2234.422602325866
80,2,1,1700,3177.303338960835,3466.0961150210255
71,2,2,3800,3155.3272141638504,3374.568420302699
120,2,1,1846,3122.13368725035,3454.854941352357
40,1,1,1100,3134.405770278234,3447.8796054776863
72,2,1,3082,3344.712406427527,3375.60469853542
75,2,1,1800,3122.7794812236953,3477.1499285763516
62,3,1,1800,3095.0582039583765,3299.764227319388
65,3,1,1872,3207.5834976579504,3393.4126353063984
50,2,1,2100,3183.8335150124644,3318.946024125736
44,2,1,1500,3250.1550347478546,3354.699328078985
64,2,1,1800,2478.223635849513,3367.5832396244996
26,1,0,4500,3656.180192956081,2212.016153696742
83,2,1,3200,4074.5152447190467,3353.0414900035794
24,1,1,3200,3627.6002116638633,3341.201069393966
110,3,0,5400,3553.398744975233,3373.932157312862
60,3,1,1700,3143.8151025308052,3433.409043138555
34,1,0,1800,3203.42209929754,3252.5316786116605
26,1,0,920,2965.37568073433,3410.0083771317413
69,2,2,2500,3096.440698919886,3563.2919736686795
43,2,1,1800,3177.7590257495913,3280.067011653367
70,2,1,2633,3450.6820018007547,3422.247712736857
22,1,0,4000,2826.7007788460664,2239.4694599730105
45,1,0,1250,3048.3364446060114,3490.129874827063
47,2,0,2950,3085.6891653743237,3354.4590958390118
35,2,0,2200,3418.9980727555358,3328.562593000641
38,1,1,4300,4093.453886765094,3390.4092238150356
33,1,1,1600,3053.249018948598,3409.3661946791913
50,2,1,1450,3191.597377717691,3423.9174270253466
73,1,2,9500,4026.0453721987874,3344.4087415713243
29,1,1,2430,2870.0555905840456,3379.4038548414815
22,1,0,3800,3330.957823002008,2224.9233516844033
26,1,0,1350,2780.161488602365,3382.5301561576903
72,2,2,3000,3344.2560619349,3359.8651599825234
34,2,0,1795,3492.5987840731063,3409.106620946443
53,2,0,1550,2624.481600301275,3403.395639982661
354,3,3,5970,3504.489889005993,3529.5615937695775
69,1,0,1500,3180.3831473489045,3440.804912075662
50,2,1,2086,2495.602903137465,3343.6684706399237
69,2,2,3550,3206.2409850227796,3396.3292985761404
34,1,0,1040,2669.431330664572,2232.5812078136073
28,1,0,1990,2878.804978409024,2156.32400285822
56,2,1,2150,3160.214065981523,3320.1566949025105
43,1,1,2800,3494.8402651846277,3404.4009884874404
55,2,1,3200,3636.6636495334237,3260.696588787593
46,2,1,1500,3146.3819449490065,3328.418121535957
24,1,0,800,3191.250108418085,2257.003546635088
65,3,1,2000,3114.1596114805766,3390.321505418181
27,1,0,1902,3262.124147686522,2243.960082083599
80,2,2,2000,3321.0627157940608,3400.9930199233563
40,2,0,1600,2797.149621811141,3395.128473577596
68,3,1,2100,2696.8750530076477,3401.849989385098
44,2,1,1700,2567.4393205321276,3417.4598067722386
58,2,2,2150,3037.648979797276,3317.965741997926
62,2,1,9500,3509.226923837807,3325.5672317791773
45,1,0,1600,5140.165039771115,2239.3711664152506
79,3,2,3650,3223.5869045266513,3349.34430426377
30,1,0,1150,3396.4933961715915,3490.3123145682744
29,1,0,1550,2797.8768884325414,2205.76005645313
55,2,1,2747,3116.1070665453526,3370.309764248752
106,3,1,3276,3474.7653719937007,3331.056453521884
48,2,1,1400,3070.954282997718,3379.953395437859
38,1,1,2000,3190.318673137901,3367.6579022839246
50,2,1,1300,3249.111237409412,3335.4705237304347
30,2,0,1643,2810.969757695348,3347.6810256595472
43,1,1,3900,4047.41193818245,3347.7223205523283
126,3,3,15000,4064.9050345439878,3363.263142834654
39,2,1,1200,3209.550496868726,3350.3631995783217
56,1,0,1650,3250.8455680060197,3430.7257205282817
35,1,1,3500,4145.799240826242,2208.228022636208
41,1,1,2800,2710.725632312479,3373.1998648788367
78,2,0,4900,5315.491790444408,3349.84304116598
29,1,0,1333,2762.753879937181,3311.459848802637
52,2,1,1250,3135.345821322899,3359.7283111364886
40,1,0,800,3209.0352023053274,3557.157294413781
24,1,0,3300,3679.9217450451447,2242.2445176089727
29,1,0,2000,3500.4784947446606,3361.558150602253
33,1,0,2150,2814.7029314269826,3343.9930792985174
33,1,1,2800,4363.688277666413,2224.9280508629936
36,1,1,2800,2822.495815673507,3397.7198706395357
48,2,1,1900,3280.5420404611646,3394.3366365797037
46,2,1,1150,3210.2254623419494,3333.644328987176
30,1,0,1550,3177.9241412448146,2221.883317219965
52,2,1,2290,3263.200957504522,3406.9074806257063
42,1,1,4750,3580.764546502011,2281.4651812574216
26,1,0,2700,3036.274788702177,3331.0123371409095
30,1,0,2000,2817.548937553028,2244.279529294535
37,1,1,3500,4527.339176270105,2243.5585046173355
40,1,0,2527,3757.6599933362972,3330.2339894256475
61,2,1,3000,3223.5173669157366,3303.716863658447
35,1,0,980,3185.1341998770376,3469.2099737947383
50,1,1,2600,4075.356483823734,3327.060673517891
26,1,0,2188,3240.4608341900166,2221.2455947733333
32,1,1,2750,3484.5679809075195,2182.962717081817
32,1,0,1700,2824.8033324797093,2235.97141300763
32,1,1,2100,5109.074895148345,2196.3366283451996
24,1,1,3500,3461.2726893850117,2153.867428894297
30,1,1,1262,2777.9965361996806,2270.8040390769024
50,2,1,1700,2755.8199167292373,3359.416903095024
73,2,1,6000,5080.14891113724,3387.045918645114
25,1,0,3100,4002.3327840297006,3432.9672760864773
68,3,1,2500,3110.4756618190004,3323.555923036094
34,1,0,1100,3192.0514531509684,3353.405866153829
53,2,1,1800,3163.603928306392,3375.4212002072795
30,1,0,1600,3212.4093094919663,3326.601977722395
85,2,1,1350,3305.3668229969503,3485.5968902177833
82,2,0,4000,4237.675999910035,3448.33504257741
28,1,0,2400,3404.7632570384585,2235.1535240600047
41,2,0,1300,3398.2824819950765,3332.7578981091
90,2,2,5200,3115.798646488655,3297.6735514195448
56,2,1,2200,3194.5750918365384,3383.6206253043842
50,2,0,3600,3810.0761087196397,3339.9853678731943
44,2,1,1850,3135.495474019186,3346.6504649551416
75,3,2,2900,3256.2590762209193,3394.636873215627
45,2,1,3850,3300.2451296464706,3337.4003379011533
33,1,0,3100,4224.520361106092,3289.910378415662
55,2,1,1600,4268.4813331072655,3354.279812475466
91,2,1,2700,3327.443885969481,3476.542388303245
35,1,1,1800,3108.6259978551648,3341.8519969955105
60,2,1,1350,3032.4128878440238,3337.578970707244
65,3,1,2250,3118.3628898086613,3331.1480626286575
27,1,0,2800,3258.835974627652,2183.8621489339985
80,2,5,2200,3188.9456791378293,3494.9408681443088
65,2,1,3500,3300.78697563477,3343.6366873893903
21,1,0,3400,3773.5532373225897,2197.5565265894397
34,1,0,2000,3268.423880650738,3354.9499806590575
31,1,1,2300,4044.6956539220064,3403.5260427737007
65,3,1,1800,3002.7800636666234,3380.509673096513
40,2,1,2800,3129.228827869657,3380.86147121002
30,1,0,760,2788.67748107575,2202.0112086606714
70,2,1,2700,2970.207071540787,3311.9782774773294
28,1,0,1900,3110.2021678201986,3326.546616017579
61,2,2,3500,3714.8083694904917,3340.968403383646
25,1,0,1148,2658.018860826759,2247.8018646408086
38,1,1,2650,3172.3948521600664,3334.0164703562996
38,1,0,1249,3294.3657591924552,3709.848874981108
45,2,1,1250,3238.05379186818,3307.618034780261
22,1,0,1799,2713.2804070353186,2186.4407005453454
70,3,0,1200,3209.7409316101284,3477.7933265974702
96,1,0,1700,3274.690536363387,3490.1981924601837
350,3,4,3200,4325.951978330651,3459.989448316847
26,1,0,2100,2561.3800456228887,2243.1649902780123
30,0,0,1840,3160.566539399983,3348.8039515440273
120,2,1,1400,3114.77045138494,3431.741011934341
16,1,0,1800,2883.746165300391,3345.766204089732
35,1,0,1250,3094.1907167735467,3912.3415767509614
60,2,0,1900,2829.8189959040556,3387.2148204665064
15,1,0,740,3233.161275538721,2205.6901290640512
61,1,0,1475,2526.5503168576156,3364.525059136804
75,2,1,1577,3129.6847721025188,3893.3064458360923
38,1,0,1250,3076.2258254671647,3336.3381338645345
28,1,0,1394,2763.390035460677,2253.1541906696825
70,1,1,1500,3179.1608043891642,3471.62526112148
55,2,1,1700,3142.596318247654,3313.358065770726
33,1,1,1700,2597.9697489739547,3401.6091715725297
50,2,1,791,3241.242383268834,3396.270327149215
110,3,3,3500,3165.541908786337,3477.031578343556
34,2,0,1100,3228.4931901452705,2250.2562874713535
101,3,3,3060,3037.8398589255394,3486.3527333649163
32,0,0,1200,3036.797975013401,2200.361874944951
38,1,0,1350,3093.6241152775724,3347.620028885411
38,1,0,980,2674.635425048488,2256.434680387229
50,2,2,2500,3135.65102204625,3337.0030291834255
91,3,2,6000,3062.3313617550075,3375.2540526269618
80,2,0,2200,3599.5203401625317,3472.312579458458
22,1,0,1843,2780.396296563846,2225.4721939560714
30,1,0,2198,2464.791450938874,2237.574540249846
60,2,0,1555,3337.949586290801,3422.3275519018393
36,1,1,1177,2853.964083655257,3317.9764890345086
34,2,1,1680,2816.885409330474,3368.3259760619835
32,1,0,1700,3280.202516563692,2210.5970289094557
38,1,1,2800,3464.150059148835,3322.5112144050263
38,1,0,1100,2484.333908008978,2263.5496867125157
70,1,0,1380,3221.3880895661205,3430.500397306345
29,1,0,1760,3302.2371515440714,3377.928949060961
34,1,0,1500,2903.328728090224,2166.646097060004
60,1,0,1350,3256.713075362558,3447.633760203279
40,1,0,1200,3428.2964407516693,3396.827119177004
90,2,0,2450,3165.347561726484,3291.7150730318535
75,1,2,999,3234.2582864514598,3419.418960055408
41,2,0,2200,3337.7099503664226,3450.5980855966654
29,1,1,2790,3213.827575665294,2273.8828506316945
42,1,0,1706,3746.4035122733285,2227.0464424705992
70,2,1,1930,3208.3514618794866,3466.4959467665544
35,2,0,1500,3184.195647799447,3296.8668765365164
82,3,2,2100,3158.853775355622,3358.8038479440174
54,1,1,1500,3172.4534486041216,3498.5471456956298
67,2,1,2884,3011.4938071634265,3432.5197281092064
73,2,2,2100,3040.893804091601,3333.647380150606
90,3,1,1900,3191.49793304341,3497.9554310316234
90,2,0,2450,3339.938769300592,3489.9056275262637
95,2,2,2570,3116.7362849820524,3341.49199717418
130,3,1,2500,3075.951636671037,3435.4889542078968
30,1,0,950,3064.795849742564,2194.242201231706
50,2,1,3000,2662.702390171393,3343.354860014173
55,2,1,1417,3244.3982847315897,3339.6050616553093
24,1,0,1240,3097.7250130543216,2181.42060561543
60,2,0,1400,3035.0639862167127,3554.649946422873
49,2,1,2400,2460.8553939899894,3406.8741121477046
110,3,2,5250,3312.796120184159,3513.9974812707483
50,2,1,1300,3056.7314275586377,3365.934168240854
81,2,1,4000,2994.9605621742717,3341.448579629335
