district,area,bedrooms,garage,type,rent
Alto da Lapa,70,2,1,Apartamento,2450
Tatuapé,54,2,1,Apartamento,1400
Sítio do Morro,50,2,0,Apartamento,1590
Vila Ipojuca,90,4,2,Apartamento,4200
Várzea da Barra Funda,30,1,0,Apartamento,2122
Jaguaré,80,2,0,Apartamento,3200
Água Branca,78,2,2,Apartamento,4000
Vila Alpina,45,2,1,Apartamento,1404
Parada Inglesa,37,2,0,Apartamento,1650
Vila Sao Pedro,15,1,0,Studio e kitnet,950
Centro,26,1,0,Studio e kitnet,1750
República,29,1,0,Studio e kitnet,1300
Vila Milton,60,2,1,Apartamento,1683
Jardim Flor da Montanha,38,1,1,Studio e kitnet,1554
Ipiranga,120,3,3,Casa,5500
Consolação,55,1,0,Apartamento,3899
Vila Campestre,35,1,0,Casa,874
Luz,48,2,1,Apartamento,2860
Vila Andrade,36,2,0,Apartamento,980
Mooca,33,1,0,Apartamento,3100
Jardim Alvorada (zona Oeste),40,2,0,Apartamento,1101
Vila Arcadia,39,1,0,Casa,938
Vila Mangalot,51,2,1,Apartamento,920
Tremembé,62,2,1,Apartamento,2300
Vila Suzana,35,1,1,Apartamento,959
República,29,1,0,Studio e kitnet,1725
Jardim Peri,41,2,0,Apartamento,1000
Tatuapé,24,1,0,Studio e kitnet,1600
Vila Aricanduva,37,2,0,Apartamento,1500
Bela Vista,26,1,0,Studio e kitnet,1953
Tucuruvi,41,2,0,Apartamento,1800
Mooca,30,1,0,Apartamento,1635
Campos Elíseos,12,1,0,Studio e kitnet,900
Piqueri,41,1,1,Casa,1550
Vila Prudente,32,1,0,Studio e kitnet,1350
Cidade Patriarca,44,2,1,Apartamento,1800
Campo Belo,50,1,1,Apartamento,3350
Centro,30,1,0,Apartamento,2600
Engenheiro Goulart,46,2,0,Apartamento,1400
Vila Sofia,69,2,1,Apartamento,2170
Vila Pedra Branca,60,1,0,Casa,1100
Santa Cecília,30,1,0,Studio e kitnet,2327
Jardim Peri,43,2,1,Apartamento,1732
Vila Mariana,40,1,1,Studio e kitnet,4900
Centro Histórico de São Paulo,32,1,0,Studio e kitnet,2000
Sacomã,32,2,0,Apartamento,1350
Vila Indiana,28,1,0,Studio e kitnet,1426
Barra Funda,69,2,2,Apartamento,5390
Vila Penteado,41,2,0,Apartamento,1500
Liberdade,30,1,0,Apartamento,1092
Vila Andrade,51,2,0,Apartamento,2480
Vila Vermelha,71,3,2,Apartamento,1900
Jardim Maringá,41,2,1,Apartamento,1400
Jardim Bonfiglioli,30,1,0,Studio e kitnet,1260
Jardim Vila Mariana,22,0,0,Studio e kitnet,2200
Brás,20,1,1,Apartamento,2600
Vila Butantã,38,2,1,Apartamento,1995
Vila Palmeiras,34,2,0,Apartamento,1400
Vila Gumercindo,72,3,2,Apartamento,4000
Mooca,98,3,1,Apartamento,3000
Sítio da Figueira,55,2,1,Apartamento,1750
Ipiranga,55,2,1,Apartamento,2350
Pinheiros,19,1,0,Studio e kitnet,3400
Água Branca,44,2,0,Apartamento,1750
Sumarezinho,55,2,1,Apartamento,2300
Tatuapé,24,1,0,Studio e kitnet,1900
República,30,1,0,Studio e kitnet,2390
Santana,26,1,0,Studio e kitnet,2500
Vila da Saúde,35,1,0,Casa,1400
Vila Mazzei,70,2,1,Apartamento,1600
Jardim Leonor,87,1,2,Apartamento,4500
Santo Amaro,67,2,1,Apartamento,1900
Jardim Vila Galvão,45,2,1,Apartamento,1443
Centro,94,3,1,Apartamento,2200
Bela Vista,24,1,0,Studio e kitnet,2350
Bela Vista,26,1,0,Studio e kitnet,1250
Vila da Saúde,75,3,2,Apartamento,3700
Jardim Iris,45,2,0,Apartamento,3000
Campestre,85,3,2,Apartamento,2047
Vila Pirajussara,14,1,0,Studio e kitnet,1750
Jardim Planalto,32,2,0,Apartamento,1800
Vila Moraes,63,2,1,Apartamento,2400
Vila Endres,50,1,0,Apartamento,916
Vila Monte Alegre,48,2,1,Apartamento,1900
Chácara Belenzinho,56,3,1,Apartamento,2000
Centro,26,1,0,Studio e kitnet,2450
Jardim Sao Saverio,43,2,0,Apartamento,1300
Planalto Paulista,27,1,0,Casa,1200
Vila Aricanduva,35,2,0,Apartamento,1481
Real Parque,80,1,1,Apartamento,3000
Vila Olímpia,75,3,1,Apartamento,3200
Pacaembu,350,4,2,Casa,10400
Centro,37,2,0,Apartamento,2500
Paraíso do Morumbi,24,1,0,Apartamento,1100
Campos Elíseos,45,1,1,Apartamento,3100
Consolação,24,1,0,Studio e kitnet,3000
Pinheiros,34,1,1,Studio e kitnet,3231
Bela Vista,50,1,1,Apartamento,4000
Paulicéia,65,3,1,Apartamento,1560
Taboão,54,2,1,Apartamento,1100
Cambuci,41,2,0,Apartamento,2090
Pinheiros,33,1,0,Studio e kitnet,3417
Bela Vista,35,1,1,Apartamento,1600
Cambuci,34,2,0,Apartamento,1443
Jardim Mariliza,42,2,0,Casa,1000
Jardim Maringá,150,3,1,Casa,1880
Vila Constança,64,2,1,Casa em condomínio,2200
Sumarezinho,31,1,0,Studio e kitnet,2620
Jardim Ampliação,38,1,1,Studio e kitnet,2400
Vila Rosália,57,2,1,Apartamento,1750
Jardim São José (zona Norte),50,1,0,Casa,850
Jardim Clímax,45,1,1,Casa,1200
Bela Vista,29,1,0,Apartamento,1700
Bela Vista,37,2,0,Apartamento,2200
Bela Vista,29,1,0,Studio e kitnet,1400
Mooca,76,3,1,Apartamento,4200
Vila Curuca,64,2,1,Apartamento,3600
Alto da Lapa,14,1,0,Studio e kitnet,700
Pinheiros,34,1,1,Apartamento,4850
Jardim Olympia,55,2,1,Apartamento,1800
Vila Buarque,12,1,0,Apartamento,2400
Vila Mendes,67,2,1,Apartamento,2448
Penha de França,62,3,1,Apartamento,2100
Vila Guarani (z Sul),50,2,1,Apartamento,1450
República,22,1,0,Studio e kitnet,2800
Casa Verde,49,1,1,Apartamento,3500
Brooklin Paulista,35,1,0,Studio e kitnet,3700
Vila Mascote,130,3,1,Casa,4000
Jardim Utinga,62,2,1,Apartamento,1900
Santo Amaro,25,1,0,Studio e kitnet,2600
Vila Augusta,25,1,1,Studio e kitnet,1800
Vila Maria Alta,25,2,0,Casa,1001
Centro,27,1,0,Studio e kitnet,2000
Vila Andrade,98,3,2,Apartamento,2442
Vila Alpina,49,2,1,Apartamento,1050
República,20,1,0,Studio e kitnet,1640
Consolação,48,1,1,Apartamento,2600
Campos Elíseos,38,1,1,Apartamento,1500
Vila Buarque,21,1,0,Studio e kitnet,1000
Vila Leopoldina,35,2,0,Apartamento,2550
Cerqueira César,49,1,1,Apartamento,3000
Jardim Santa Emilia,64,2,1,Apartamento,1550
Barra Funda,70,3,1,Apartamento,4800
Barra Funda,99,3,2,Apartamento,4500
Consolação,28,1,0,Studio e kitnet,1700
Vila Santa Catarina,160,4,1,Casa,3000
Vila Moreira,49,2,1,Apartamento,1995
Vila Santo Estéfano,58,2,2,Apartamento,2120
Vila Augusta,66,2,2,Apartamento,2600
Bela Vista,35,1,1,Apartamento,2500
Centro Histórico de São Paulo,28,0,0,Studio e kitnet,1207
Vila Leopoldina,115,3,2,Apartamento,4450
Barra Funda,33,1,1,Studio e kitnet,2550
Cambuci,45,2,0,Apartamento,2500
Vila Guarani (z Sul),53,2,1,Apartamento,1900
Vila Buarque,30,1,0,Studio e kitnet,1350
Limão,49,2,1,Apartamento,1900
Consolação,24,1,0,Studio e kitnet,4300
Vila Guilherme,60,3,1,Apartamento,3000
Tucuruvi,35,2,0,Apartamento,2500
Mooca,45,2,0,Apartamento,2400
Perdizes,33,1,0,Apartamento,3000
Vila Clementino,15,1,0,Studio e kitnet,1000
Jardim Piqueroby,41,2,0,Studio e kitnet,2900
Vila Mascote,86,2,2,Apartamento,4800
Consolação,51,1,1,Apartamento,4000
Vila Olímpia,30,1,1,Studio e kitnet,3000
Santo Amaro,47,1,1,Apartamento,2799
Jardim Paulista,54,1,2,Apartamento,3466
Cerqueira César,35,1,1,Apartamento,2800
Perdizes,33,1,0,Studio e kitnet,3000
Bela Vista,60,2,1,Apartamento,5500
Vila Gomes Cardim,82,3,1,Apartamento,3000
Vila Cruzeiro,58,2,1,Apartamento,3500
Jardim Anália Franco,78,1,1,Apartamento,3950
Jardim Aeroporto,200,2,1,Casa,8000
Jardim Ampliação,32,1,0,Studio e kitnet,2370
Penha de França,58,2,1,Apartamento,2500
Consolação,65,2,0,Apartamento,2100
Vila Medeiros,58,3,1,Apartamento,3800
Vila Clementino,68,3,1,Apartamento,5200
Perdizes,83,3,2,Apartamento,3600
Rudge Ramos,184,3,2,Apartamento,3800
Perdizes,68,3,1,Apartamento,3000
Alto da Lapa,64,2,2,Apartamento,3000
Sacoma,33,2,0,Apartamento,1700
Vila Esperança,73,3,1,Apartamento,2700
Campo Belo,35,1,1,Studio e kitnet,3800
Santana,50,2,1,Apartamento,1900
Quinta da Paineira,50,2,1,Apartamento,1700
Pinheiros,25,1,0,Studio e kitnet,2500
Vila Amália (zona Norte),48,2,0,Apartamento,1100
Vila Santa Catarina,15,1,0,Casa,750
Jardim Hercilia,30,2,2,Casa,2430
Vila Santa Luzia,53,2,1,Apartamento,2200
Chora Menino,25,2,0,Apartamento,1400
Paraíso,23,1,0,Studio e kitnet,4000
Vila Firmiano Pinto,63,3,1,Apartamento,1500
Bela Vista,16,1,0,Studio e kitnet,3700
República,20,1,0,Apartamento,2500
Paraíso,33,1,1,Studio e kitnet,1850
Vila Cordeiro,50,1,1,Apartamento,5400
Vila Dom Pedro Ii,32,1,0,Apartamento,1600
Campos Elíseos,36,1,1,Apartamento,2200
Vila Siqueira (zona Norte),47,2,1,Apartamento,1650
Casa Verde,54,2,1,Apartamento,4200
Jardim Paulista,34,1,1,Studio e kitnet,4000
Vila Olímpia,42,1,1,Apartamento,2300
Santa Cecília,30,1,1,Apartamento,3300
Vila Olímpia,33,1,1,Studio e kitnet,3150
Brooklin Paulista,84,2,2,Apartamento,7990
Vila Prudente,90,2,2,Casa,2715
Vila Olímpia,43,1,1,Studio e kitnet,3500
Bela Vista,20,1,0,Apartamento,4000
Alto da Mooca,80,3,2,Apartamento,2250
Vila Suzana,67,3,1,Apartamento,1600
Vila Andrade,50,2,1,Apartamento,2600
Vila Madalena,25,1,0,Apartamento,2770
Indianópolis,26,1,0,Apartamento,3500
Jardim Planalto,35,1,0,Apartamento,1050
Vila Ema,32,1,0,Studio e kitnet,1300
Vila Anglo Brasileira,185,2,3,Casa,4579
Vila Celeste,49,1,1,Apartamento,1800
Bela Vista,18,1,0,Studio e kitnet,4000
Brás,39,1,0,Apartamento,2330
Indianópolis,25,1,0,Studio e kitnet,3690
Jardim Santa Maria,80,2,1,Casa,1700
Santa Paula,71,2,2,Apartamento,3800
Americanópolis,120,2,1,Casa,1846
Vila Bela,40,1,1,Casa,1100
Vila Albertina,72,2,1,Apartamento,3082
Chácara Mafalda,75,2,1,Casa,1800
Paulicéia,62,3,1,Apartamento,1800
Vila Constança,65,3,1,Apartamento,1872
Vila Prudente,50,2,1,Apartamento,2100
Vila Nova Savoia,44,2,1,Apartamento,1500
Campos Elíseos,64,2,1,Apartamento,1800
Brooklin,26,1,0,Studio e kitnet,4500
Pinheiros,83,2,1,Apartamento,3200
Indianópolis,24,1,1,Apartamento,3200
Perdizes,110,3,0,Apartamento,5400
Vila Valparaíso,60,3,1,Apartamento,1700
Jurubatuba,34,1,0,Apartamento,1800
Casa Verde Alta,26,1,0,Apartamento,920
Vila Matilde,69,2,2,Casa,2500
Jardim Las Vegas,43,2,1,Apartamento,1800
Jardim Peri Peri,70,2,1,Casa,2633
Bela Vista,22,1,0,Studio e kitnet,4000
Vila Esperança,45,1,0,Casa,1250
Cidade Mãe do Céu,47,2,0,Apartamento,2950
Jurubatuba,35,2,0,Apartamento,2200
Pinheiros,38,1,1,Apartamento,4300
Santa Cecilia,33,1,1,Apartamento,1600
Vila Venditti,50,2,1,Apartamento,1450
Pinheiros,73,1,2,Apartamento,9500
Bela Vista,29,1,1,Apartamento,2430
Jardim das Acácias,22,1,0,Studio e kitnet,3800
Cambuci,26,1,0,Apartamento,1350
Vila Andrade,72,2,2,Apartamento,3000
Alto da Mooca,34,2,0,Apartamento,1795
Brás,53,2,0,Apartamento,1550
Vila Inah,354,3,3,Casa,5970
Chácara Inglesa,69,1,0,Casa,1500
Liberdade,50,2,1,Apartamento,2086
Santa Paula,69,2,2,Apartamento,3550
Centro,34,1,0,Studio e kitnet,1040
Santa Efigênia,28,1,0,Studio e kitnet,1990
Jardim Ampliação,56,2,1,Apartamento,2150
Água Branca,43,1,1,Apartamento,2800
Lapa,55,2,1,Apartamento,3200
Jardim América da Penha,46,2,1,Apartamento,1500
Vila Nova Carolina,24,1,0,Studio e kitnet,800
Parque Novo Mundo,65,3,1,Apartamento,2000
Jardim da Glória,27,1,0,Studio e kitnet,1902
Vila Guedes,80,2,2,Casa,2000
Cambuci,40,2,0,Apartamento,1600
Centro,68,3,1,Apartamento,2100
Liberdade,44,2,1,Apartamento,1700
Jaguaré,58,2,2,Apartamento,2150
Chácara Santo Antônio (zona Sul),62,2,1,Apartamento,9500
Jardim Paulista,45,1,0,Studio e kitnet,1600
Vila Prudente,79,3,2,Apartamento,3650
Vila Sonia,30,1,0,Casa,1150
Cambuci,29,1,0,Studio e kitnet,1550
Vila Prudente,55,2,1,Apartamento,2747
Perdizes,106,3,1,Apartamento,3276
Jardim Celeste,48,2,1,Apartamento,1400
Vila Monte Alegre,38,1,1,Apartamento,2000
Vila Regina,50,2,1,Apartamento,1300
Bela Vista,30,2,0,Apartamento,1643
Pinheiros,43,1,1,Apartamento,3900
Vila Olímpia,126,3,3,Apartamento,15000
Cangaíba,39,2,1,Apartamento,1200
Socorro,56,1,0,Casa,1650
Campo Belo,35,1,1,Studio e kitnet,3500
Centro,41,1,1,Apartamento,2800
Jardim Paulista,78,2,0,Apartamento,4900
Cambuci,29,1,0,Apartamento,1333
Quinta da Paineira,52,2,1,Apartamento,1250
Jardim Rosa de Franca,40,1,0,Casa,800
Indianópolis,24,1,0,Studio e kitnet,3300
Água Branca,29,1,0,Apartamento,2000
Bela Vista,33,1,0,Apartamento,2150
Santo Amaro,33,1,1,Studio e kitnet,2800
Bela Vista,36,1,1,Apartamento,2800
Catumbi,48,2,1,Apartamento,1900
Vila Pereira Cerca,46,2,1,Apartamento,1150
Tatuapé,30,1,0,Studio e kitnet,1550
Lajeado,52,2,1,Apartamento,2290
Vila Pompéia,42,1,1,Studio e kitnet,4750
Vila Guarani (z Sul),26,1,0,Apartamento,2700
Bela Vista,30,1,0,Studio e kitnet,2000
Campo Belo,37,1,1,Studio e kitnet,3500
Consolação,40,1,0,Apartamento,2527
Vila Isa,61,2,1,Apartamento,3000
Jardim Oriental,35,1,0,Casa,980
Brooklin Paulista,50,1,1,Apartamento,2600
Mirandópolis,26,1,0,Studio e kitnet,2188
Perdizes,32,1,1,Studio e kitnet,2750
Bela Vista,32,1,0,Studio e kitnet,1700
Jardim Paulista,32,1,1,Studio e kitnet,2100
Jardim Paulistano,24,1,1,Studio e kitnet,3500
Vila Buarque,30,1,1,Studio e kitnet,1262
Vila Buarque,50,2,1,Apartamento,1700
Cerqueira César,73,2,1,Apartamento,6000
Pinheiros,25,1,0,Apartamento,3100
Vila Butantã,68,3,1,Apartamento,2500
Vila Margarida,34,1,0,Apartamento,1100
Vila Nova Mazzei,53,2,1,Apartamento,1800
Barra Funda,30,1,0,Apartamento,1600
Vila Ede,85,2,1,Casa,1350
Pinheiros,82,2,0,Casa,4000
Água Branca,28,1,0,Studio e kitnet,2400
Vila Andrade,41,2,0,Apartamento,1300
Vila Firmiano Pinto,90,2,2,Apartamento,5200
Sapopemba,56,2,1,Apartamento,2200
Vila Mariana,50,2,0,Apartamento,3600
Belenzinho,44,2,1,Apartamento,1850
Vila Prudente,75,3,2,Apartamento,2900
Butantã,45,2,1,Apartamento,3850
Pinheiros,33,1,0,Apartamento,3100
Jardim Leonor,55,2,1,Apartamento,1600
Jabaquara,91,2,1,Casa,2700
Vila Monumento,35,1,1,Apartamento,1800
Vila Constança,60,2,1,Apartamento,1350
Nossa Senhora do Ó,65,3,1,Apartamento,2250
Mirandópolis,27,1,0,Studio e kitnet,2800
Vila Santa Catarina,80,2,5,Casa,2200
São Judas,65,2,1,Apartamento,3500
Vila Mariana,21,1,0,Studio e kitnet,3400
Mooca,34,1,0,Apartamento,2000
Pinheiros,31,1,1,Apartamento,2300
Vila Maria Alta,65,3,1,Apartamento,1800
Barra Funda,40,2,1,Apartamento,2800
Santa Efigênia,30,1,0,Studio e kitnet,760
Jaguaré,70,2,1,Apartamento,2700
Jardim Prudência,28,1,0,Apartamento,1900
Vila Congonhas,61,2,2,Apartamento,3500
República,25,1,0,Studio e kitnet,1148
Santa Cecília,38,1,1,Apartamento,2650
Água Fria,38,1,0,Casa em condomínio,1249
Jardim Sao Francisco (zona Leste),45,2,1,Apartamento,1250
Sé,22,1,0,Studio e kitnet,1799
Guaiaúna,70,3,0,Casa,1200
Vila Oratorio,96,1,0,Casa,1700
Santo Amaro,350,3,4,Casa,3200
Liberdade,26,1,0,Studio e kitnet,2100
Tatuapé,30,0,0,Apartamento,1840
Vila Moraes,120,2,1,Casa,1400
Bela Vista,16,1,0,Apartamento,1800
Vila Moraes,35,1,0,Casa em condomínio,1250
Cambuci,60,2,0,Apartamento,1900
Vila São Luís(zona Oeste),15,1,0,Studio e kitnet,740
Campos Elíseos,61,1,0,Apartamento,1475
Vila Buenos Aires,75,2,1,Casa em condomínio,1577
Vila Isolina Mazzei,38,1,0,Apartamento,1250
República,28,1,0,Studio e kitnet,1394
Parque Peruche,70,1,1,Casa,1500
Vila Marieta,55,2,1,Apartamento,1700
Brás,33,1,1,Apartamento,1700
Vila Cardoso Franco,50,2,1,Apartamento,791
Super Quadra Morumbi,110,3,3,Casa,3500
Parque Fongaro,34,2,0,Studio e kitnet,1100
Vila Matilde,101,3,3,Casa,3060
São Lucas,32,0,0,Studio e kitnet,1200
Vila Penteado,38,1,0,Apartamento,1350
Sé,38,1,0,Studio e kitnet,980
Vila Bela,50,2,2,Apartamento,2500
Tatuapé,91,3,2,Apartamento,6000
Vila Romana,80,2,0,Casa,2200
Centro Histórico de São Paulo,22,1,0,Studio e kitnet,1843
Liberdade,30,1,0,Studio e kitnet,2198
Vila Gumercindo,60,2,0,Casa,1555
Santa Efigênia,36,1,1,Apartamento,1177
Cambuci,34,2,1,Apartamento,1680
Jardim Aurelia,32,1,0,Studio e kitnet,1700
Vila Andrade,38,1,1,Apartamento,2800
Liberdade,38,1,0,Studio e kitnet,1100
Vila Fidalgo,70,1,0,Casa,1380
Parque Industrial Tomas Edson,29,1,0,Apartamento,1760
Vila Formosa,34,1,0,Studio e kitnet,1500
Jardim Aricanduva,60,1,0,Casa,1350
Alto da Mooca,40,1,0,Casa,1200
Mooca,90,2,0,Apartamento,2450
Vila Nova Carolina,75,1,2,Casa,999
Mooca,41,2,0,Apartamento,2200
Butantã,29,1,1,Studio e kitnet,2790
Consolação,42,1,0,Studio e kitnet,1706
Vila Domitila,70,2,1,Casa,1930
Socorro,35,2,0,Apartamento,1500
Casa Verde,82,3,2,Apartamento,2100
Vila Água Funda,54,1,1,Casa,1500
Vila Isolina Mazzei,67,2,1,Apartamento,2884
Rudge Ramos,73,2,2,Apartamento,2100
Vila Beatriz,90,3,1,Casa,1900
Vila Paulicéia,90,2,0,Casa,2450
Vila Monumento,95,2,2,Apartamento,2570
Imirim,130,3,1,Casa,2500
Parque Edu Chaves,30,1,0,Studio e kitnet,950
Brás,50,2,1,Apartamento,3000
Vila Inglesa,55,2,1,Apartamento,1417
Santa Cecília,24,1,0,Studio e kitnet,1240
São Lucas,60,2,0,Casa,1400
Liberdade,49,2,1,Apartamento,2400
Vila Clementino,110,3,2,Casa,5250
Sítio do Mandaqui,50,2,1,Apartamento,1300
Tatuapé,81,2,1,Apartamento,4000
Cangaiba,70,1,0,Casa,969
Liberdade,35,1,0,Apartamento,1281
Jardim Rosana,40,1,0,Casa,800
Vila Isolina Mazzei,60,2,1,Casa em condomínio,2600
Jardim Paulista,55,1,0,Apartamento,1650
Bela Vista,30,1,0,Studio e kitnet,1735
Casa Verde,55,2,0,Casa,2000
Jardim Sao Paulo(zona Norte),80,2,1,Casa,2000
Aclimação,68,3,1,Apartamento,2199
Jardim Umarizal,65,2,1,Apartamento,1500
Vila Príncipe de Gales,50,2,1,Apartamento,1550
Vila Mangalot,223,3,6,Casa,4100
República,33,1,0,Apartamento,1020
Penha de França,58,2,1,Apartamento,1600
Ipiranga,58,2,1,Apartamento,4000
Vila Moraes,63,3,1,Apartamento,1200
Tatuapé,38,1,1,Apartamento,3010
Bela Vista,30,1,0,Apartamento,1795
Tatuapé,29,1,0,Studio e kitnet,1800
Vila Guarani,45,2,0,Apartamento,1535
Jardim das Vertentes,207,3,6,Casa,5500
Vila Buarque,27,1,0,Apartamento,1401
Parque Tomas Saraiva,60,2,1,Apartamento,1950
Penha de França,50,2,1,Apartamento,1860
Jardim Celeste,56,2,1,Apartamento,1600
Parque Vitória,64,1,0,Casa,1236
Vila Gumercindo,120,3,3,Apartamento,5900
Centro,49,2,1,Apartamento,1716
Jardim Pinhal,70,2,1,Casa,1299
Vila Graciosa,32,1,0,Studio e kitnet,1312
Vila Canero,60,2,1,Apartamento,4000
Vila Gumercindo,53,2,1,Apartamento,3200
Vila Andrade,65,3,2,Apartamento,2890
Vila Cruzeiro,44,0,0,Studio e kitnet,1400
Jardim Pazini,80,2,0,Apartamento,1550
Vila Invernada,34,1,0,Apartamento,1450
Tucuruvi,52,2,1,Casa em condomínio,2000
Vila Dom Pedro Ii,55,2,1,Apartamento,2100
Vila Formosa,30,1,0,Studio e kitnet,800
Jaguaré,49,2,1,Apartamento,1150
Vila Guilherme,42,1,0,Studio e kitnet,1500
Vila Prudente,65,3,1,Apartamento,2500
Santa Teresinha,54,2,1,Apartamento,1503
Brás,28,1,0,Apartamento,1750
Vila Marina,70,1,0,Casa,1210
Mooca,57,2,0,Apartamento,2100
Vila Formosa,70,3,1,Apartamento,2745
Bela Vista,40,1,1,Studio e kitnet,2850
Vila Andrade,48,2,1,Apartamento,2100
Jardim Paulista,31,1,0,Studio e kitnet,2100
Centro,53,2,0,Apartamento,2500
Bosque da Saúde,55,2,1,Apartamento,2300
Jardim Santa Emília,61,2,1,Apartamento,1300
Vila Mariana,33,1,1,Studio e kitnet,3000
Vila Carrao,80,2,1,Casa,1650
Centro,30,1,0,Studio e kitnet,1100
Jardim Ampliação,60,2,1,Apartamento,2684
Vila Cruz das Almas,120,3,1,Casa,2000
Butantã,30,1,0,Studio e kitnet,1200
Bela Vista,16,1,0,Studio e kitnet,2950
